"","year","promoted","sex"
"1","1998",147,"Females"
"2","1999",146,"Females"
"3","2000",250,"Females"
"4","2001",484,"Females"
"5","2002",476,"Females"
"6","2003",426,"Females"
"7","2004",440,"Females"
"8","2005",485,"Females"
"9","2006",598,"Females"
"10","2007",660,"Females"
"11","2008",578,"Females"
"12","2009",635,"Females"
"13","2010",696,"Females"
"14","2011",662,"Females"
"15","2012",631,"Females"
"16","2013",638,"Females"
"17","2014",669,"Females"
"18","2015",571,"Females"
"19","2016",627,"Females"
"20","2017",620,"Females"
"21","2018",669,"Females"
"22","2019",778,"Females"
"23","2020",733,"Females"
"24","1998",1861,"Males"
"25","1999",1727,"Males"
"26","2000",2937,"Males"
"27","2001",4085,"Males"
"28","2002",3743,"Males"
"29","2003",3813,"Males"
"30","2004",3722,"Males"
"31","2005",3694,"Males"
"32","2006",3994,"Males"
"33","2007",4541,"Males"
"34","2008",4507,"Males"
"35","2009",4845,"Males"
"36","2010",4380,"Males"
"37","2011",3983,"Males"
"38","2012",3831,"Males"
"39","2013",4015,"Males"
"40","2014",3576,"Males"
"41","2015",3777,"Males"
"42","2016",3655,"Males"
"43","2017",3857,"Males"
"44","2018",3950,"Males"
"45","2019",4238,"Males"
"46","2020",3993,"Males"
"47","1998",2008,"Total"
"48","1999",1873,"Total"
"49","2000",3187,"Total"
"50","2001",4569,"Total"
"51","2002",4219,"Total"
"52","2003",4239,"Total"
"53","2004",4162,"Total"
"54","2005",4179,"Total"
"55","2006",4592,"Total"
"56","2007",5201,"Total"
"57","2008",5085,"Total"
"58","2009",5480,"Total"
"59","2010",5076,"Total"
"60","2011",4645,"Total"
"61","2012",4462,"Total"
"62","2013",4653,"Total"
"63","2014",4245,"Total"
"64","2015",4348,"Total"
"65","2016",4282,"Total"
"66","2017",4477,"Total"
"67","2018",4619,"Total"
"68","2019",5016,"Total"
"69","2020",4726,"Total"
